model_key,family,params_b,tuning,tier,conflict_type,prompt_style,score_mode,n,mean,ci_low,ci_high,positive_fraction,t,p
qwen25_7b_base,Qwen,7.0,base,large_7b,arbitrary_semantic_remapping,game_rule,sum_logprob,36.0,4.8398641159551,4.175069096261912,5.512275073618662,1.0,13.71233120841786,1.2207132645591925e-15
qwen25_7b_base,Qwen,7.0,base,large_7b,arbitrary_semantic_remapping,game_rule,mean_logprob,36.0,4.8398641159551,4.175069096261912,5.512275073618662,1.0,13.71233120841786,1.2207132645591925e-15
qwen25_7b_base,Qwen,7.0,base,large_7b,arbitrary_semantic_remapping,glossary,sum_logprob,36.0,3.550291505124834,3.079434090438816,4.02781803958394,1.0,14.098633092250392,5.337265161162484e-16
qwen25_7b_base,Qwen,7.0,base,large_7b,arbitrary_semantic_remapping,glossary,mean_logprob,36.0,3.550291505124834,3.079434090438816,4.02781803958394,1.0,14.098633092250392,5.337265161162484e-16
qwen25_7b_base,Qwen,7.0,base,large_7b,arbitrary_semantic_remapping,technical_document,sum_logprob,36.0,4.132277526237346,3.5390208810567856,4.75542099867706,1.0,12.84491011315305,8.310031938493498e-15
qwen25_7b_base,Qwen,7.0,base,large_7b,arbitrary_semantic_remapping,technical_document,mean_logprob,36.0,4.132277526237346,3.5390208810567856,4.75542099867706,1.0,12.84491011315305,8.310031938493498e-15
qwen25_7b_base,Qwen,7.0,base,large_7b,polysemy_entity_remapping,definition_scope,sum_logprob,30.0,3.0304192132420016,2.4327334669894656,3.5771035065915853,0.9333333333333333,10.46952492423692,2.306962128017479e-11
qwen25_7b_base,Qwen,7.0,base,large_7b,polysemy_entity_remapping,definition_scope,mean_logprob,30.0,3.0304192132420016,2.4327334669894656,3.5771035065915853,0.9333333333333333,10.46952492423692,2.306962128017479e-11
qwen25_7b_base,Qwen,7.0,base,large_7b,polysemy_entity_remapping,game_rule,sum_logprob,30.0,3.790630366570419,2.831861366459892,4.802800530878208,0.9666666666666667,7.445570233391083,3.321893011015758e-08
qwen25_7b_base,Qwen,7.0,base,large_7b,polysemy_entity_remapping,game_rule,mean_logprob,30.0,3.790630366570419,2.831861366459892,4.802800530878208,0.9666666666666667,7.445570233391083,3.321893011015758e-08
qwen25_7b_base,Qwen,7.0,base,large_7b,polysemy_entity_remapping,glossary,sum_logprob,30.0,2.0459817753897775,1.5816606745455,2.5333388743135665,1.0,8.381375931820008,3.0815364499111085e-09
qwen25_7b_base,Qwen,7.0,base,large_7b,polysemy_entity_remapping,glossary,mean_logprob,30.0,2.0459817753897775,1.5816606745455,2.5333388743135665,1.0,8.381375931820008,3.0815364499111085e-09
qwen25_7b_base,Qwen,7.0,base,large_7b,polysemy_entity_remapping,technical_document,sum_logprob,30.0,2.2638275159729853,1.5554035762614669,2.9462835765547215,0.8333333333333334,6.170851361212051,9.97830726153714e-07
qwen25_7b_base,Qwen,7.0,base,large_7b,polysemy_entity_remapping,technical_document,mean_logprob,30.0,2.2638275159729853,1.5554035762614669,2.9462835765547215,0.8333333333333334,6.170851361212051,9.97830726153714e-07
