model_key,family,params_b,tuning,tier,prompt_style,score_mode,n,mean,ci_low,ci_high,positive_fraction,t,p
qwen25_7b_base,Qwen,7.0,base,large_7b,definition_scope,mean_logprob,176.0,2.25915615537025,2.002707559929813,2.5177406279673407,0.8863636363636364,16.796899452211445,2.4828692840490454e-38
qwen25_7b_base,Qwen,7.0,base,large_7b,game_rule,sum_logprob,176.0,3.954277572427792,3.5990591276413357,4.316121872017425,0.9659090909090909,21.749623237635817,1.2518751282920694e-51
qwen25_7b_base,Qwen,7.0,base,large_7b,game_rule,mean_logprob,176.0,3.861902734592067,3.511199884051257,4.215687522973403,0.9659090909090909,21.371047464183842,1.1725368459364305e-50
qwen25_7b_base,Qwen,7.0,base,large_7b,glossary,sum_logprob,176.0,2.0771093358887422,1.855657211082298,2.3007388704280887,0.9431818181818182,17.72711579627413,6.403306286920982e-41
qwen25_7b_base,Qwen,7.0,base,large_7b,glossary,mean_logprob,176.0,2.0328559282989045,1.8165705144246616,2.248717541539948,0.9375,17.970377794415068,1.367009803667409e-41
qwen25_7b_base,Qwen,7.0,base,large_7b,technical_document,sum_logprob,176.0,2.4789855186155005,2.211740843455002,2.7637633100971946,0.9090909090909091,17.304852952200715,9.480655778901567e-40
qwen25_7b_base,Qwen,7.0,base,large_7b,technical_document,mean_logprob,176.0,2.4353262314986264,2.1708341163997207,2.7156436083700912,0.9090909090909091,17.18858407074354,1.9974831290744478e-39
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,definition_scope,sum_logprob,176.0,2.441065536491395,2.0458024191701796,2.8555969785746274,0.8125,11.793513448137293,5.340846361400934e-24
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,definition_scope,mean_logprob,176.0,2.4152613957720077,2.031484623543119,2.8278397297952833,0.8068181818181818,11.982260113836082,1.5303294582456886e-24
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,game_rule,sum_logprob,176.0,1.3790958047379627,0.49310495683416206,2.2693153655960336,0.5852272727272727,3.0041290381639016,0.0030542259865335673
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,game_rule,mean_logprob,176.0,1.3672128307145879,0.46507635200944275,2.2550763259667197,0.5909090909090909,3.0419045668783364,0.0027127817361307736
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,glossary,sum_logprob,176.0,2.3037081328049007,1.7203643924450258,2.8943292125074835,0.7613636363636364,7.612766270169712,1.601135278948562e-12
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,glossary,mean_logprob,176.0,2.269141717079273,1.6867909566772505,2.8585349704896217,0.7613636363636364,7.55705213198075,2.212317782079361e-12
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,technical_document,sum_logprob,176.0,0.7656640071622912,0.5555764360764296,0.9976096267782394,0.7386363636363636,6.749994586724849,2.0898610835411514e-10
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,technical_document,mean_logprob,176.0,0.7344142745403069,0.5376837354166292,0.9528719902549669,0.7272727272727273,6.932900367281949,7.632071147171258e-11
